Attrition_Flag,Customer_Age,Gender,Education_Level,Card_Category,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Income_Category_final,customer
Existing Customer,45,M,High School,Blue,777,1.335,1144,42,1.625,0.061,SecondClass,Customer N_1
Existing Customer,49,F,Graduate,Blue,864,1.541,1291,33,3.714,0.105,SecondClass,Customer N_2
Existing Customer,51,M,Graduate,Blue,0,2.594,1887,20,2.333,0,FirstClass,Customer N_3
Existing Customer,40,F,High School,Blue,2517,1.405,1171,20,2.333,0.76,SecondClass,Customer N_4
Existing Customer,40,M,Uneducated,Blue,0,2.175,816,28,2.5,0,SecondClass,Customer N_5
Existing Customer,44,M,Graduate,Blue,1247,1.376,1088,24,0.846,0.311,SecondClass,Customer N_6
Existing Customer,32,M,High School,Silver,1396,2.204,1538,36,0.714,0.048,SecondClass,Customer N_7
Existing Customer,37,M,Uneducated,Blue,2517,3.355,1350,24,1.182,0.113,SecondClass,Customer N_8
Existing Customer,48,M,Graduate,Blue,1677,1.524,1441,32,0.882,0.144,FirstClass,Customer N_9
Existing Customer,42,M,Uneducated,Blue,1467,0.831,1201,42,0.68,0.217,FirstClass,Customer N_10
Existing Customer,56,M,College,Blue,0,3.397,1539,17,3.25,0,FirstClass,Customer N_11
Existing Customer,35,M,Graduate,Blue,1666,1.163,1311,33,2,0.195,SecondClass,Customer N_12
Existing Customer,57,F,Graduate,Blue,680,1.19,1570,29,0.611,0.279,SecondClass,Customer N_13
Existing Customer,48,M,Post-Graduate,Blue,2362,1.708,1671,27,0.929,0.078,FirstClass,Customer N_14
Existing Customer,61,M,High School,Blue,2517,1.831,1336,30,1.143,0.788,SecondClass,Customer N_15
Existing Customer,47,M,Doctorate,Blue,1800,0.906,1178,27,0.929,0.086,SecondClass,Customer N_16
Attrited Customer,62,F,Graduate,Blue,0,1.047,692,16,0.6,0,SecondClass,Customer N_17
Existing Customer,41,M,High School,Blue,680,1.608,931,18,1.571,0.152,SecondClass,Customer N_18
Existing Customer,41,F,Graduate,Blue,1669,0.797,1051,22,0.833,0.215,SecondClass,Customer N_19
Existing Customer,59,M,High School,Blue,1374,0.921,1197,23,1.3,0.093,SecondClass,Customer N_20
Existing Customer,47,M,High School,Blue,1362,0.739,1045,38,0.9,0.285,SecondClass,Customer N_21
Existing Customer,53,M,Uneducated,Blue,1690,1.323,1596,26,1.6,0.69,SecondClass,Customer N_22
